program,fault
"#include <iostream>
#include <string>
#include <vector>
#include <map>

int main() {
  std::map<std::string, int> word_counts;
  std::vector<std::string> words = {""apple"", ""banana"", ""apple"", ""orange"", ""banana"", ""apple""};

  for (const std::string& word : words) {
    word_counts[word]++;
  }

  std::cout << ""Word Counts:\n"";
  for (const auto& pair : word_counts) {
    std::cout << pair.first << "": "" << pair.second << std::endl;
  }

  // Find the most frequent word
  std::string most_frequent_word;
  int max_count = 0;
  for (const auto& pair : word_counts) {
    if (pair.second > max_count) {
      max_count = pair.second;
      most_frequent_word = pair.first;
    }
  }

  std::cout << ""Most frequent word: "" << most_frequent_word << "", count: "" << max_count << std::endl;

  return 0;
}",if (pair.second > max_count)
"#include <iostream>
#include <vector>
#include <algorithm>

int main() {
  std::vector<int> data = {1, 2, 3, 4, 5, 6, 7, 8, 9, 10};
  int target = 5;

  // Find the first element greater than the target
  auto it = std::find_if(data.begin(), data.end(), [target](int x) { return x > target; });

  if (it != data.end()) {
    // Calculate the index of the found element
    int index = std::distance(data.begin(), it);
    std::cout << ""First element greater than "" << target << "" found at index: "" << index << std::endl;

    // Calculate the sum of elements from the beginning to the found element
    int sum = 0;
    for (int i = 0; i <= index; ++i) {
      sum += data[i];
    }
    std::cout << ""Sum of elements up to index "" << index << "": "" << sum << std::endl;
  } else {
    std::cout << ""No element greater than "" << target << "" found."" << std::endl;
  }

  return 0;
}",for (int i = 0; i <= index; ++i)
,
"#include <iostream>
#include <vector>
#include <numeric>
#include <algorithm>

int main() {
  std::vector<double> values = {1.0, 2.5, 3.7, 4.2, 5.1};

  // Calculate the average value
  double sum = std::accumulate(values.begin(), values.end(), 0.0);
  double average = sum / values.size();
  std::cout << ""Average: "" << average << std::endl;

  // Find values greater than the average
  std::vector<double> above_average_values;
  std::copy_if(values.begin(), values.end(), std::back_inserter(above_average_values), 
               [average](double value) { return value > average; });

  std::cout << ""Values above average: "";
  for (double value : above_average_values) {
    std::cout << value << "" "";
  }
  std::cout << std::endl;

  // Calculate the standard deviation
  double sq_sum = std::inner_product(values.begin(), values.end(), values.begin(), 0.0);
  double stdev = std::sqrt(sq_sum / values.size() - average * average);
  std::cout << ""Standard Deviation: "" << stdev << std::endl;

  return 0;
}",double stdev = std::sqrt(sq_sum / values.size() - average * average);
"#include <iostream>
#include <string>
#include <vector>
#include <map>

int main() {
    std::vector<std::string> words = {""apple"", ""banana"", ""apple"", ""orange"", ""banana"", ""grape""};
    std::map<std::string, int> word_counts;

    for (const std::string& word : words) {
        word_counts[word]++;
    }

    std::cout << ""Word Counts:\n"";
    for (const auto& pair : word_counts) {
        std::cout << pair.first << "": "" << pair.second << std::endl;
    }

    // Find the most frequent word
    std::string most_frequent_word;
    int max_count = 0;
    for (const auto& pair : word_counts) {
        if (pair.second > max_count) {
            max_count = pair.second;
            most_frequent_word = pair.first;
        }
    }

    std::cout << ""Most frequent word: "" << most_frequent_word << "", count: "" << max_count << std::endl;

    //Check if the word ""apple"" exists in the map. If so, print its count.
    if(word_counts.find(""apple"") != word_counts.end()){
      std::cout << ""Count of apple: "" << word_counts[""apple""] << std::endl;
    }

    return 0;
}","if(word_counts.find(""apple"") != word_counts.end()){
      std::cout << ""Count of apple: "" << word_counts[""apple""] << std::endl;
    }"
"#include <iostream>
#include <vector>

int main() {
  std::vector<int> data = {1, 2, 3, 4, 5};
  size_t index = 0;

  while (index < data.size() + 1) {
    std::cout << data[index] << std::endl;
    ++index;
  }

  return 0;
}",index < data.size() + 1
"#include <iostream>
#include <string>
#include <algorithm>

int main() {
  std::string input = ""hello"";
  std::string reversed_input;

  std::reverse(input.begin(), input.end());
  reversed_input = input;

  if (reversed_input == ""olleh"") {
    std::cout << ""Palindrome!"" << std::endl;
  } else {
    std::cout << ""Not a palindrome."" << std::endl;
  }

  return 0;
}",reversed_input = input;
"#include <iostream>
#include <vector>
#include <numeric>

int main() {
  std::vector<int> numbers = {1, 2, 3, 4, 5};
  double sum = 0.0;

  for (int number : numbers) {
    sum += number;
  }

  double average = sum / numbers.size();
  std::cout << ""Average: "" << average << std::endl;

  return 0;
}",double sum = 0.0;
"#include <iostream>
#include <string>
#include <algorithm>

int main() {
  std::string text = ""This is a test string."";
  std::string pattern = ""test"";
  size_t pos = text.find(pattern);

  while (pos != std::string::npos) {
    text.replace(pos, pattern.length(), ""exam"");
    pos = text.find(pattern, pos + 1);
  }

  std::cout << text << std::endl;

  return 0;
}","pos = text.find(pattern, pos + 1);"
"#include <iostream>
#include <vector>

int main() {
  std::vector<int> data = {1, 2, 3, 4, 5};
  int threshold = 3;

  for (size_t i = 0; i < data.size(); ++i) {
    if (data[i] > threshold) {
      data.insert(data.begin() + i, 0);
      ++i; // Crucial increment to avoid infinite loop
    }
  }

  for (int value : data) {
    std::cout << value << "" "";
  }
  std::cout << std::endl;

  return 0;
}",++i;
"#include <iostream>
#include <string>
#include <algorithm>

int main() {
  std::string input = ""abcdefg"";
  std::string reversed_input = input;
  std::reverse(reversed_input.begin(), reversed_input.end());

  if (input == reversed_input) {
    std::cout << ""Palindrome!"" << std::endl;
  } else {
    std::cout << ""Not a palindrome."" << std::endl;
  }

  return 0;
}",if (input == reversed_input)
"#include <iostream>
#include <vector>
#include <numeric>

int main() {
  std::vector<double> values = {1.0, 2.0, 3.0, 4.0, 5.0};
  double sum = std::accumulate(values.begin(), values.end(), 0.0);
  double average = sum / values.size();

  std::cout << ""Average: "" << average << std::endl;

  return 0;
}",0.0
"#include <iostream>
#include <vector>
#include <algorithm>

int main() {
  std::vector<int> numbers = {5, 2, 8, 1, 9};
  std::vector<int> sorted_numbers = numbers;

  std::sort(sorted_numbers.begin(), sorted_numbers.end());

  for (size_t i = 0; i < numbers.size(); ++i) {
    numbers[i] = sorted_numbers[i];
  }

  for (int number : numbers) {
    std::cout << number << "" "";
  }
  std::cout << std::endl;

  return 0;
}",numbers[i] = sorted_numbers[i];
"#include <iostream>
#include <string>
#include <sstream>

int main() {
  std::string input = ""123.45"";
  double value;
  std::stringstream ss(input);
  ss >> value;

  if (ss.fail()) {
    std::cout << ""Conversion failed!"" << std::endl;
  } else {
    std::cout << ""Value: "" << value << std::endl;
  }

  return 0;
}",std::stringstream ss(input);
"#include <iostream>
#include <vector>
#include <algorithm>

int main() {
  std::vector<int> data = {1, 2, 3, 4, 5};
  std::vector<int> result;

  std::transform(data.begin(), data.end(), std::back_inserter(result), [](int x) { return x * 2; });

  for (size_t i = 0; i < data.size(); ++i) {
    std::cout << result[i] << "" "";
  }
  std::cout << std::endl;

  return 0;
}",for (size_t i = 0; i < data.size(); ++i)
"#include <iostream>
#include <map>
#include <string>

int main() {
  std::map<std::string, int> counts;
  counts[""apple""] = 5;
  counts[""banana""] = 3;
  counts[""orange""] = 7;

  for (const auto& pair : counts) {
    std::cout << pair.first << "": "" << pair.second << std::endl;
  }

  counts.erase(""banana"");

  for (const auto& pair : counts) {
    std::cout << pair.first << "": "" << pair.second << std::endl;
  }

  return 0;
}","counts.erase(""banana"");"
"#include <iostream>
#include <vector>
#include <algorithm>

int main() {
  std::vector<int> numbers = {1, 2, 3, 4, 5};
  std::vector<int> even_numbers;

  std::copy_if(numbers.begin(), numbers.end(), std::back_inserter(even_numbers), [](int n) { return n % 2 == 0; });

  for (int i = 0; i < even_numbers.size(); ++i) {
    std::cout << even_numbers[i] << "" "";
  }
  std::cout << std::endl;

  return 0;
}","std::copy_if(numbers.begin(), numbers.end(), std::back_inserter(even_numbers), [](int n) { return n % 2 == 0; });"
"#include <iostream>
#include <string>
#include <vector>

int main() {
  std::vector<std::string> names = {""Alice"", ""Bob"", ""Charlie""};
  std::string target = ""Bob"";

  auto it = std::find(names.begin(), names.end(), target);

  if (it != names.end()) {
    std::cout << ""Found "" << target << "" at index: "" << std::distance(names.begin(), it) << std::endl;
  }
  else {
    std::cout << ""Not found"" << std::endl;
  }

  names.insert(names.begin() + std::distance(names.begin(), it), ""David"");

  for (const auto& name : names) {
    std::cout << name << "" "";
  }
  std::cout << std::endl;

  return 0;
}","names.insert(names.begin() + std::distance(names.begin(), it), ""David"");"
"#include <iostream>
#include <vector>
#include <functional>

int main() {
  std::vector<int> data = {1, 2, 3, 4, 5, 6, 7, 8, 9, 10};
  std::vector<int> result;

  std::function<void(int)> process = [&](int value) {
    if (value % 2 == 0) {
      result.push_back(value * 2);
    }
    else {
      process(value * 2);
    }
  };

  for (int x : data) {
    process(x);
  }

  for (int val : result) {
    std::cout << val << "" "";
  }
  std::cout << std::endl;

  return 0;
}",process(value * 2);
"#include <iostream>
#include <map>
#include <string>

int main() {
  std::map<std::string, int> counts;
  counts[""apple""] = 5;
  counts[""banana""] = 3;
  counts[""orange""] = 7;

  for (auto const& [key, val] : counts) {
    std::cout << key << "": "" << val << std::endl;
  }

  auto it = counts.find(""grape"");
  if (it != counts.end()) {
    std::cout << ""Grape count: "" << it->second << std::endl;
  } else {
    std::cout << ""Grape not found"" << std::endl;
  }

  counts.erase(it);

  for (auto const& [key, val] : counts) {
    std::cout << key << "": "" << val << std::endl;
  }

  return 0;
}",counts.erase(it);
"#include <iostream>
#include <vector>
#include <algorithm>

int main() {
  std::vector<int> numbers = {1, 2, 3, 4, 5};
  std::vector<int> even_numbers;

  std::copy_if(numbers.begin(), numbers.end(), std::back_inserter(even_numbers), [](int n){ return n % 2 == 0; });

  for (int num : even_numbers) {
    std::cout << num << "" "";
  }
  std::cout << std::endl;

  // Attempt to find the maximum even number
  if (!even_numbers.empty()) {
    auto max_it = std::max_element(even_numbers.begin(), even_numbers.end());
    std::cout << ""Maximum even number: "" << *max_it << std::endl;
  } else {
    std::cout << ""No even numbers found."" << std::endl;
  }

  return 0;
}","std::copy_if(numbers.begin(), numbers.end(), std::back_inserter(even_numbers), [](int n){ return n % 2 == 0; });"
"#include <iostream>
#include <string>
#include <vector>
#include <algorithm>

int main() {
  std::vector<std::string> names = {""Alice"", ""Bob"", ""Charlie"", ""David""};
  std::string target_name = ""Bob"";

  auto it = std::find(names.begin(), names.end(), target_name);

  if (it != names.end()) {
    std::cout << ""Found "" << target_name << "" at index "" << std::distance(names.begin(), it) << std::endl;
    names.erase(it);
    it = std::find(names.begin(), names.end(), target_name); // Attempt to find again
    if (it != names.end()) {
      std::cout << ""Found again!"" << std::endl;
    }
  } else {
    std::cout << target_name << "" not found."" << std::endl;
  }

  for (const auto& name : names) {
    std::cout << name << "" "" ;
  }
  std::cout << std::endl;

  return 0;
}","it = std::find(names.begin(), names.end(), target_name);"
"#include <iostream>
#include <vector>
#include <numeric>

int main() {
  std::vector<int> data = {1, 2, 3, 4, 5, 6, 7, 8, 9, 10};
  int sum = 0;

  // Calculate the sum of elements using std::accumulate
  sum = std::accumulate(data.begin(), data.end(), sum);

  std::cout << ""Sum of elements: "" << sum << std::endl;

  // Calculate the average
  double average = static_cast<double>(sum) / data.size();
  std::cout << ""Average of elements: "" << average << std::endl;

  return 0;
}","sum = std::accumulate(data.begin(), data.end(), sum);"
"#include <iostream>
#include <string>
#include <vector>
#include <sstream>

int main() {
  std::string input = ""10 20 30 40 50"";
  std::stringstream ss(input);
  std::vector<int> numbers;
  int num;

  while (ss >> num) {
    numbers.push_back(num);
  }

  // Calculate the sum of the numbers
  int sum = 0;
  for (size_t i = 0; i < numbers.size(); ++i) {
    sum += numbers[i];
  }

  std::cout << ""Sum of numbers: "" << sum << std::endl;

  return 0;
}",for (size_t i = 0; i < numbers.size(); ++i)
"#include <iostream>
#include <vector>
#include <algorithm>

int main() {
  std::vector<int> values = {1, 2, 3, 4, 5};
  std::vector<int> sorted_values = values;
  std::sort(sorted_values.begin(), sorted_values.end());

  // Find the difference between the original and sorted vectors
  std::vector<int> diff;
  for (size_t i = 0; i < values.size(); ++i) {
    diff.push_back(values[i] - sorted_values[i]);
  }

  // Print the differences
  for (int d : diff) {
    std::cout << d << "" "";
  }
  std::cout << std::endl;

  return 0;
}",diff.push_back(values[i] - sorted_values[i]);
"#include <iostream>
#include <vector>
#include <functional>

int main() {
  std::vector<std::function<int(int)>> functions;
  functions.push_back([](int x) { return x * 2; });
  functions.push_back([](int x) { return x + 5; });

  int value = 10;

  for (auto& func : functions) {
    value = func(value);
  }

  std::cout << ""Final value: "" << value << std::endl;

  return 0;
}",for (auto& func : functions)
"#include <iostream>
#include <string>
#include <vector>

int main() {
  std::vector<std::string> names = {""Alice"", ""Bob"", ""Charlie""};
  std::string search_name = ""David"";

  bool found = false;
  for (const auto& name : names) {
    if (name == search_name) {
      found = true;
      break;
    }
  }

  if (found) {
    std::cout << search_name << "" found in the list.\n"";
  } else {
    std::cout << search_name << "" not found in the list.\n"";
  }

  return 0;
}",if (name == search_name)
"#include <iostream>
#include <vector>
#include <algorithm>

int main() {
  std::vector<int> data = {1, 2, 3, 4, 5, 6, 7, 8, 9, 10};
  int threshold = 5;

  std::vector<int> filtered_data;
  std::copy_if(data.begin(), data.end(), std::back_inserter(filtered_data), [threshold](int x) { return x > threshold; });

  // Print the filtered data
  for (int value : filtered_data) {
    std::cout << value << "" "";
  }
  std::cout << std::endl;

  return 0;
}",[threshold](int x) { return x > threshold; }
"#include <iostream>
#include <string>
#include <vector>
#include <algorithm>

int main() {
  std::vector<std::string> words = {""apple"", ""banana"", ""cherry"", ""date""};
  std::string prefix = ""ban"";

  std::vector<std::string> matching_words;
  std::copy_if(words.begin(), words.end(), std::back_inserter(matching_words), [&](const std::string& word) {
    return word.rfind(prefix, 0) == 0;
  });

  for (const auto& word : matching_words) {
    std::cout << word << std::endl;
  }

  return 0;
}","word.rfind(prefix, 0) == 0"
